,Unnamed: 0,loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,loan_status_dv
Unnamed: 0,1,-0.038077508,-0.038077508,-0.038102674,-0.031938959,-0.03166948,-0.003672044,-0.041018184,0.008555038,0.032015836,-0.022406191,-0.065673406,-0.015123834,0.010759726,0.007247394,0.066497999,0.033328721,-0.258413045,-0.258395902,0.327931926,0.327933275,0.349520951,0.181853106,-0.032467335,-0.232801991,-0.224610011,0.193817437,-0.001010808,-0.031343498,,0.009707252,-0.008822764,0.021181697,-0.02019975,-0.001622228,-0.042013847,-0.020089014,0.007291297,-0.00566726,-0.014286235,-0.015305236,-0.020286799,0.004119134,0.001570772,-0.017423102,-0.040300408,-0.014421799,-0.01382786,-0.058399634,0.031735988,-0.029234604,0.067850626,0.005964934,0.005538847,0.024862204,0.047339627,0.011749458,0.023752621,0.074092128,0.01787758,-0.000475316,0.013499912,-0.015151969,-0.015188238,-0.004459137,-0.004022126,-0.013146134,0.058848659,-0.008653695,-0.01555845,0.037963122,-0.004710978,-0.015916536,0.00838182,0.003226268,0.003361125,-0.05429755,0.003908389,0.062165824,-0.00881477,0.018854228,0.015291999,-0.016539687,-0.015016222,-0.026841335,0.447919221
loan_amnt,-0.038077508,1,1,0.999995104,0.075151192,0.946257731,0.317440957,0.042926725,-0.01427495,-0.029376177,-0.000308528,0.022085143,0.179182866,-0.062963916,0.329218173,0.098272473,0.197723905,0.477964659,0.477986328,0.659203754,0.659246335,0.594819728,0.578144218,0.062007511,0.098945403,0.095449881,0.329679499,-0.020204727,0.013420489,,0.002491634,-0.023031722,0.316404949,-0.033242462,0.031786128,-0.004926371,0.018989841,-0.010400215,0.151179324,-0.084462991,-0.05069682,-0.043075811,0.381271333,0.002085148,0.355125932,-0.017486951,0.085099751,0.000375697,-0.008044799,0.231869002,0.213426811,0.045501851,-0.011100106,0.002936829,0.128315975,0.178003378,0.056938497,0.027907111,0.232894549,0.041880153,-0.027746047,0.005763835,-0.010910231,-0.060583919,0.190907095,0.148596124,0.21497543,0.194992311,0.077060824,0.16388785,0.163583938,0.147976626,0.179738318,-0.007227134,0.000193826,-0.026274912,-0.029974994,0.092008949,0.015843803,-0.089957084,0.00495604,0.344803206,0.279103505,0.37620381,0.209300034,-0.0223949
funded_amnt,-0.038077508,1,1,0.999995104,0.075151192,0.946257731,0.317440957,0.042926725,-0.01427495,-0.029376177,-0.000308528,0.022085143,0.179182866,-0.062963916,0.329218173,0.098272473,0.197723905,0.477964659,0.477986328,0.659203754,0.659246335,0.594819728,0.578144218,0.062007511,0.098945403,0.095449881,0.329679499,-0.020204727,0.013420489,,0.002491634,-0.023031722,0.316404949,-0.033242462,0.031786128,-0.004926371,0.018989841,-0.010400215,0.151179324,-0.084462991,-0.05069682,-0.043075811,0.381271333,0.002085148,0.355125932,-0.017486951,0.085099751,0.000375697,-0.008044799,0.231869002,0.213426811,0.045501851,-0.011100106,0.002936829,0.128315975,0.178003378,0.056938497,0.027907111,0.232894549,0.041880153,-0.027746047,0.005763835,-0.010910231,-0.060583919,0.190907095,0.148596124,0.21497543,0.194992311,0.077060824,0.16388785,0.163583938,0.147976626,0.179738318,-0.007227134,0.000193826,-0.026274912,-0.029974994,0.092008949,0.015843803,-0.089957084,0.00495604,0.344803206,0.279103505,0.37620381,0.209300034,-0.0223949
funded_amnt_inv,-0.038102674,0.999995104,0.999995104,1,0.075167023,0.946186747,0.317466388,0.042904762,-0.014306109,-0.029405903,-0.000266215,0.022178826,0.179184684,-0.062993967,0.329216063,0.09822543,0.197710613,0.478115812,0.478140975,0.659081219,0.659131019,0.59469898,0.578076171,0.061976245,0.098900275,0.095401034,0.329654818,-0.020215626,0.013435824,,0.002495389,-0.02303618,0.316415636,-0.033270138,0.03178146,-0.004932015,0.018985578,-0.010391393,0.151182263,-0.084485721,-0.050722919,-0.043099615,0.381270842,0.002058925,0.35515988,-0.017492555,0.085106107,0.000380711,-0.008059949,0.231873408,0.213478567,0.045455023,-0.011115898,0.002944938,0.128326231,0.178012308,0.056952795,0.027924018,0.232894165,0.041901937,-0.02771149,0.005774208,-0.010880907,-0.060586341,0.190894233,0.148561897,0.214975605,0.194981844,0.07705939,0.163885372,0.163567635,0.147945658,0.179742043,-0.007216931,0.000189962,-0.026279503,-0.029997893,0.092039716,0.01580534,-0.089957628,0.004919193,0.344820482,0.279116762,0.376237172,0.20932066,-0.02235913
int_rate,-0.031938959,0.075151192,0.075151192,0.075167023,1,0.101312343,-0.090132907,0.121017836,0.060556562,0.185738677,-0.045845016,-0.00734949,-0.011752085,0.05342379,-0.03741105,0.261130153,-0.044574599,0.023770839,0.023798606,0.0977108,0.097712351,-0.017628691,0.40359993,0.051465617,0.116150741,0.109884757,0.093653056,0.023926138,-0.034504176,,0.018942833,0.011133924,-0.088135065,0.126658437,0.032407827,0.141502698,0.13880125,-0.074883472,0.034863806,0.142384101,0.122335328,0.129425078,-0.069334208,0.29289593,-0.198150874,0.132361453,0.00509293,0.15497765,0.168673075,-0.085754943,-0.296409105,0.275609733,0.02514748,0.006576433,-0.064074431,-0.133393086,-0.088236761,-0.107688921,-0.094195042,-0.074855924,-0.027713297,-0.133037409,-0.026862338,0.051265889,0.027489194,0.087354396,-0.057060816,-0.083528528,0.01208784,-0.01271969,-0.054052218,0.086234997,-0.012632584,0.009416517,0.0159699,0.031894581,0.17737594,-0.086538668,0.269173126,0.064499325,0.01196816,-0.126835027,0.002911704,-0.244576429,-0.00256946,-0.163078424
installment,-0.03166948,0.946257731,0.946257731,0.946186747,0.101312343,1,0.305699303,0.046207029,-0.00101649,-0.003163682,-0.012716701,0.01149841,0.17109802,-0.052752099,0.314815781,0.119943614,0.177185229,0.392875348,0.39286785,0.658869516,0.658874943,0.613702565,0.515140405,0.070941967,0.101385361,0.097479748,0.31853327,-0.015724201,0.005704223,,0.005294348,-0.018976203,0.287514345,-0.013829061,0.028509955,0.005474841,0.026598753,-0.014238176,0.139095655,-0.077296893,-0.023513986,-0.014230637,0.360606135,0.026591167,0.322924243,-0.004179175,0.068161984,0.017553371,0.012307051,0.205017433,0.177038876,0.071040905,-0.008168007,0.003536311,0.104307273,0.153985731,0.034394832,0.012761654,0.200044496,0.02054055,-0.033533891,-0.008575065,-0.021075307,-0.048688132,0.196354868,0.156833589,0.209199818,0.186786297,0.060726292,0.161591677,0.155483018,0.156153706,0.171564689,-0.004949821,0.002426898,-0.018568316,-0.005479928,0.071724531,0.039000959,-0.079954896,0.008360677,0.312354827,0.261522121,0.340674578,0.192063389,-0.029644979
annual_inc,-0.003672044,0.317440957,0.317440957,0.317466388,-0.090132907,0.305699303,1,-0.127441304,0.033295804,0.036004959,-0.02884995,-0.059873623,0.157387027,-0.004651309,0.309373294,0.036672606,0.187088662,0.136017323,0.136032684,0.219161907,0.219197324,0.21854518,0.130341929,0.030403992,0.010179357,0.00973922,0.115541987,-0.005636977,0.000623156,,0.007879236,0.002662242,0.424863746,0.04326004,0.077175778,0.089643222,0.11607202,-0.078030278,0.208044765,-0.044124902,-0.001738158,-0.002864867,0.271478224,0.002751207,0.321281608,0.049483157,0.048816421,0.076801128,0.069468443,0.314040893,0.180299235,-0.001165432,-0.000170234,0.007510934,0.114589731,0.147457627,0.029455807,-0.040227057,0.216813758,0.026281837,-0.057566197,-0.047526498,-0.039092949,0.006930795,0.125554409,0.094093647,0.143712765,0.144138203,0.115977371,0.100056366,0.113177714,0.093426639,0.157105027,0.001286785,0.006790808,0.002133082,0.059759684,-0.001664585,-0.012864904,-0.045837969,0.038348881,0.446814646,0.341817416,0.296015252,0.2907128,0.02779526
dti,-0.041018184,0.042926725,0.042926725,0.042904762,0.121017836,0.046207029,-0.127441304,1,-0.013664784,-0.01234793,0.015686871,0.083718295,0.165641523,-0.028815371,0.105037942,0.126292484,0.135574799,0.06332015,0.063309378,-0.003677174,-0.003693672,-0.024536832,0.059639428,0.011587899,0.023431142,0.023799444,-0.014575026,-0.00422536,0.017785949,,0.002366538,-0.010783012,0.023173563,0.007185129,0.132795872,0.082471023,0.120861918,-0.108562565,0.145651812,-0.019560414,-0.019745767,-0.001117022,0.105577347,0.129575834,0.059953009,0.042088586,0.075883941,0.01338123,0.072684449,-0.043504616,-0.040114526,0.123090188,-0.000198545,-0.007384368,0.038741664,0.041011874,-0.004834245,-0.041405762,-0.007599275,0.005386665,0.018519733,0.009639521,0.011692648,-0.026628582,0.100973305,0.147461197,0.060856843,0.042285386,0.137876905,0.102141955,0.079663172,0.150057747,0.16562663,-0.005433968,0.004688887,-0.012576485,0.035100079,0.061898457,0.101716621,-0.017408793,-0.020170684,0.03316585,0.185793556,0.033502499,0.209105408,-0.033017016
delinq_2yrs,0.008555038,-0.01427495,-0.01427495,-0.014306109,0.060556562,-0.00101649,0.033295804,-0.013664784,1,0.025578897,-0.559487416,-0.080000041,0.044984983,-0.021837357,-0.031493021,0.012809805,0.114671338,-0.038387197,-0.038385169,0.017743613,0.017720948,0.011207155,0.027843525,0.035082951,0.015769164,0.014229979,0.000295105,0.06259367,-0.441363577,,0.105618346,-0.004440269,0.054467622,-0.000382972,0.058567729,-0.009247329,-0.015700809,0.000637852,0.042378571,-0.012297093,-0.019818839,-0.049291162,-0.050569598,0.024715051,-0.05788266,0.015002464,0.024354091,0.027912072,-0.052118458,0.043862741,-0.067887571,0.015744848,0.12610492,0.021903273,0.079400323,0.082992724,0.031174715,0.024440147,0.071505617,0.051007014,-0.477685795,-0.031359654,-0.52001516,0.19768013,-0.035457593,0.002231099,-0.031391872,0.032780922,0.079579477,0.00582577,0.077985402,-0.001437663,0.042883703,0.034991558,0.088332406,0.653051904,-0.024059293,-0.428092887,0.013106872,-0.046654526,0.009367251,0.054259642,0.020521868,-0.081505726,0.05193127,-0.021322199
inq_last_6mths,0.032015836,-0.029376177,-0.029376177,-0.029405903,0.185738677,-0.003163682,0.036004959,-0.01234793,0.025578897,1,0.011451412,-0.088654735,0.151428643,0.074306433,-0.006800979,-0.082877482,0.169735041,-0.08540369,-0.085411193,0.031899877,0.031880375,0.020172658,0.048658984,0.010027644,0.03469263,0.032623411,0.045376816,0.019774516,-0.007055045,,-0.004708462,0.018008365,0.02994534,0.432293975,0.036269622,0.173497402,0.144894451,-0.089509118,0.060840845,0.091881058,0.337453514,0.29106487,-0.060892067,-0.02499024,0.02764519,0.219374234,0.049774938,0.483558579,0.287164395,-0.024208158,0.02059079,-0.074366155,0.018899123,-0.008218459,0.018950315,0.001245123,-0.187856277,-0.230783708,0.044360757,-0.128294472,0.03327845,-0.562846799,0.030364747,0.049059241,0.079936887,0.13223049,0.127776608,0.144885603,0.076107401,0.155498228,0.170206694,0.115133272,0.148422228,0.005040494,-0.007963766,0.02625493,0.338935514,-0.026092597,-0.06440648,0.082875103,0.018947957,0.032434645,0.036123232,0.000997863,0.043153956,-0.076076425
mths_since_last_delinq,-0.022406191,-0.000308528,-0.000308528,-0.000266215,-0.045845016,-0.012716701,-0.02884995,0.015686871,-0.559487416,0.011451412,1,-0.0318896,-0.034036768,0.077382577,-0.007616466,0.000711618,-0.038811224,0.041775177,0.041773185,-0.031953345,-0.031919128,-0.027134481,-0.03027921,-0.032550633,-0.016087074,-0.014439465,0.001373132,-0.047155617,0.710155228,,-0.130873484,0.04103664,-0.067792746,0.049875858,-0.018058892,0.039987622,0.047423738,-0.000867995,-0.00563867,0.048950212,0.065021655,0.101538002,0.015245586,0.017341474,-0.00324839,0.013045903,-0.009922515,0.009081883,0.117781202,-0.053091126,0.006847692,0.009279816,-0.105166998,-0.02936416,0.006115266,-0.039811109,-0.069903967,-0.062317889,-0.057001462,-0.072722564,0.768032318,0.001646074,0.867394276,0.016650447,0.024842878,0.006771513,0.017426283,-0.001619703,-0.004661624,-0.012330483,-0.03546691,0.005518785,-0.032763197,-0.048074593,-0.109809166,-0.227045584,0.084138278,0.186813006,0.004321314,0.107949166,0.005279636,-0.077856323,-0.014736413,0.010515651,-0.030514304,0.015536295
mths_since_last_record,-0.065673406,0.022085143,0.022085143,0.022178826,-0.00734949,0.01149841,-0.059873623,0.083718295,-0.080000041,-0.088654735,-0.0318896,1,0.030569401,-0.261471274,0.006476763,0.029460811,-0.164364046,0.133879705,0.133887797,-0.108177912,-0.108115715,-0.10295375,-0.079383446,-0.01899913,-0.002370082,-0.002327101,-0.003944095,-0.035985596,0.009608803,,-0.001194575,-0.082236067,0.016906439,-0.070499735,-0.001236598,-0.003711523,0.012227747,-0.020403939,-0.012304713,-0.072589029,-0.100391665,-0.099982503,0.013045408,-0.053065734,0.035008807,-0.017214214,-0.007844263,-0.063138622,-0.063942085,0.002361894,0.021981331,0.042580586,-0.030903117,-0.003372759,-0.084959526,-0.132421624,0.043514055,0.055712345,-0.117050578,0.016147611,-0.127378757,0.058375853,-0.086762222,-0.169194655,0.018807318,0.02914656,-0.014231715,-0.185319873,-0.039703106,0.03793125,-0.165823495,0.036975819,0.039495638,0.013569467,0.004140723,-0.077860771,-0.077905053,0.224713507,0.054554764,0.270760446,-0.289194245,0.01271555,-0.010394318,0.02624578,-0.008518743,-0.005885159
open_acc,-0.015123834,0.179182866,0.179182866,0.179184684,-0.011752085,0.17109802,0.157387027,0.165641523,0.044984983,0.151428643,-0.034036768,0.030569401,1,-0.01797655,0.248507935,-0.133274945,0.722295403,0.066564102,0.066568624,0.129494161,0.129508545,0.119406968,0.104569562,0.0076824,0.022496397,0.023226693,0.066122534,0.012691104,0.01271811,,0.013218687,0.002830714,0.254265357,0.270230823,0.52174021,0.182494236,0.251979743,-0.159818915,0.349128879,0.126613052,0.341696469,0.453200123,0.127604218,-0.003895082,0.427255393,0.107669437,0.117897358,0.173850372,0.489731994,-0.104366314,0.314873108,-0.095660297,0.002004231,-0.000914676,0.154499434,0.145551062,-0.237270683,-0.235615876,0.13375957,-0.205199478,-0.013188572,-0.105284479,-0.047416878,0.025781265,0.561817603,0.674635102,0.644460659,0.54502037,0.400715667,0.838104922,0.670893486,0.67787514,0.998974658,-0.003045631,0.015370736,0.011709217,0.366944932,0.113871019,-0.085702087,-0.021820808,-0.003461854,0.298953023,0.407891331,0.385586905,0.368447102,-0.023312944
pub_rec,0.010759726,-0.062963916,-0.062963916,-0.062993967,0.05342379,-0.052752099,-0.004651309,-0.028815371,-0.021837357,0.074306433,0.077382577,-0.261471274,-0.01797655,1,-0.087853359,-0.050202529,0.001615392,-0.055501081,-0.055496943,-0.017157625,-0.017192914,-0.021275145,0.003026529,-0.00436711,0.000278004,-0.000665378,-0.01231954,0.009239247,0.069986024,,-0.004866,0.021663869,-0.06125909,0.05656083,-0.02561917,0.045149009,0.046878381,-0.025335951,-0.006364072,0.029295102,0.075637294,0.089106682,-0.102158914,0.004308336,-0.10220239,0.065096996,0.008558868,0.080550362,0.09103919,-0.049284073,-0.086349264,-0.019045375,-0.007924282,-0.002145408,0.027319743,0.035953376,-0.063209448,-0.060681262,-0.013951541,-0.046820366,0.097177663,-0.050641232,0.089942301,0.01364849,-0.031197833,0.002381004,-0.039093497,-0.010451242,-0.012703152,0.003201264,0.016777998,-0.001024307,-0.02168836,-0.00344315,-0.004433083,-0.001696864,0.08156486,-0.007840611,-0.034228509,0.633768048,0.730161278,-0.068708107,-0.048262066,-0.125574797,-0.014861187,-0.018517363
revol_bal,0.007247394,0.329218173,0.329218173,0.329216063,-0.03741105,0.314815781,0.309373294,0.105037942,-0.031493021,-0.006800979,-0.007616466,0.006476763,0.248507935,-0.087853359,1,0.255740048,0.208166154,0.127172413,0.127180918,0.24794212,0.247957424,0.235749179,0.18237517,0.031141152,0.02109837,0.021449387,0.104915863,-0.028721314,0.009715157,,0.001781768,-0.036218735,0.451079476,-0.027329354,0.023918339,-0.024294435,-0.010109441,0.012441294,0.113539209,-0.096347377,-0.020286094,-0.012043601,0.577590651,0.126644921,0.807024796,-0.045962028,0.045732383,-0.018095438,-0.014533003,0.282260842,0.178870303,0.180937506,-0.014846871,0.02090664,0.112653974,0.243907961,0.01784066,0.019079606,0.219597061,0.026358287,-0.031913827,0.009278899,-0.027767131,-0.082697077,0.332225861,0.329142379,0.295121454,0.241909571,0.031169377,0.252478134,0.226789218,0.329086005,0.247619612,0.002802014,-0.002004723,-0.034619714,-0.025434145,0.119659554,0.144274275,-0.115540397,-0.009838062,0.477573391,0.511411837,0.490673031,0.154088624,0.015157126
revol_util,0.066497999,0.098272473,0.098272473,0.09822543,0.261130153,0.119943614,0.036672606,0.126292484,0.012809805,-0.082877482,0.000711618,0.029460811,-0.133274945,-0.050202529,0.255740048,1,-0.095713423,-0.037479896,-0.037478541,0.163386928,0.163360244,0.120443351,0.226446928,0.03988365,0.041527799,0.03913927,0.026653734,-0.035249622,-0.012125648,,-0.012211131,-0.03831674,0.091954961,-0.186756503,0.046350201,-0.099120275,-0.07424835,0.069783168,0.040465704,-0.061352455,-0.203655502,-0.22440979,0.345504712,0.671593613,-0.141935672,-0.088037695,0.022032513,-0.130148145,-0.221753329,0.134763969,-0.476508026,0.868494232,-0.011212638,-0.004716117,0.071009027,0.028251659,0.177230679,0.161079622,0.040331127,0.14498201,-0.002230169,0.097493968,0.018295868,-0.017926631,0.108909355,0.111846274,-0.123478308,-0.130485247,0.020702684,-0.195877564,-0.168951016,0.11698337,-0.133717798,-0.011256252,-0.007604357,0.001804201,-0.214046499,-0.046954848,0.73713356,-0.075343312,-0.00443552,0.03342768,0.137921152,-0.177274183,0.043920049,-0.050095749
total_acc,0.033328721,0.197723905,0.197723905,0.197710613,-0.044574599,0.177185229,0.187088662,0.135574799,0.114671338,0.169735041,-0.038811224,-0.164364046,0.722295403,0.001615392,0.208166154,-0.095713423,1,0.007864351,0.007880298,0.194325196,0.194331631,0.190170738,0.121137183,0.012952447,0.034757151,0.033810718,0.136103522,0.009999769,-0.034827941,,0.019921397,0.02077542,0.316596963,0.255423559,0.403049109,0.258535786,0.354215047,-0.192788477,0.424753589,0.114465808,0.244668552,0.312093023,0.140140688,0.008087444,0.342275955,0.162716688,0.297248558,0.208928998,0.436300735,0.052663843,0.24327962,-0.069684598,0.039100598,0.002176019,0.345180351,0.28547993,-0.17595556,-0.218858113,0.366570094,-0.122799316,0.00758957,-0.129273821,-0.014156481,0.147246053,0.312040029,0.418731081,0.414185428,0.627940119,0.687045893,0.579023611,0.765598934,0.420686306,0.71914928,-0.000136258,0.018705166,0.068422898,0.336243543,0.023042708,-0.054165423,0.020916281,-0.015201791,0.346273352,0.442019293,0.296269702,0.429101605,-0.022359323
out_prncp,-0.258413045,0.477964659,0.477964659,0.478115812,0.023770839,0.392875348,0.136017323,0.06332015,-0.038387197,-0.08540369,0.041775177,0.133879705,0.066564102,-0.055501081,0.127172413,-0.037479896,0.007864351,1,0.999998536,-0.250307632,-0.250256314,-0.320790107,0.100218667,-0.01407359,-0.090151247,-0.086817746,-0.295377612,-0.006405949,0.04686375,,-0.022663784,-0.013531426,0.113889374,-0.057084665,0.026483394,-0.036684405,-0.02348989,0.00585513,0.087060797,-0.084899392,-0.067297492,-0.07259133,0.218356224,-0.036068471,0.181037796,-0.004266201,0.03140224,-0.041843604,-0.037769903,0.077827811,0.157514863,-0.064478822,-0.009234267,0.00286716,0.04552024,0.047353559,0.057681376,0.044098002,0.011302526,0.027901193,0.005939815,0.041208564,0.030869115,-0.034666337,0.07787038,0.044834976,0.092750986,-0.00574455,0.024446146,0.055814626,-0.012364405,0.044470576,0.067849132,-0.006896635,-0.021178561,-0.027466694,-0.048285653,0.04546959,-0.076480298,-0.035962556,-0.026016919,0.137607624,0.131674632,0.206228634,0.121459407,0.172954292
out_prncp_inv,-0.258395902,0.477986328,0.477986328,0.478140975,0.023798606,0.39286785,0.136032684,0.063309378,-0.038385169,-0.085411193,0.041773185,0.133887797,0.066568624,-0.055496943,0.127180918,-0.037478541,0.007880298,0.999998536,1,-0.250291678,-0.250238981,-0.320771818,0.100218283,-0.014080762,-0.09014128,-0.086808147,-0.295343546,-0.006416118,0.046857609,,-0.022659371,-0.013532349,0.113911109,-0.057091015,0.026480942,-0.036682964,-0.023488597,0.00586492,0.087062833,-0.084916192,-0.06730899,-0.072599976,0.218366186,-0.036079058,0.18105262,-0.004283407,0.03141971,-0.041843332,-0.037775187,0.077848586,0.157525371,-0.064477551,-0.009246057,0.00287002,0.045532639,0.047368919,0.057689043,0.04410043,0.011331948,0.027917544,0.005924174,0.04121348,0.030856303,-0.034673877,0.077867263,0.044827611,0.092753831,-0.005731194,0.024452084,0.055818461,-0.012352418,0.044465638,0.067854245,-0.006894262,-0.021175798,-0.027463264,-0.048291684,0.045492373,-0.076473073,-0.035961473,-0.026013428,0.137630088,0.13167965,0.206241882,0.121464736,0.17293517
total_pymnt,0.327931926,0.9,0.659203754,0.659081219,0.0977108,0.658869516,0.219161907,-0.003677174,0.017743613,0.031899877,-0.031953345,-0.108177912,0.129494161,-0.017157625,0.24794212,0.163386928,0.194325196,-0.250307632,-0.250291678,1,0.999996684,0.970571505,0.690796341,0.066934072,0.006034896,0.008933271,0.593753348,-0.018850747,-0.017528161,,0.020287935,-0.012175965,0.241913785,0.006426363,0.013542741,0.020093234,0.039301228,-0.011570784,0.095851426,-0.017410085,-0.001634906,0.010286766,0.246069831,0.058573664,0.215820154,-0.021502051,0.063963854,0.031462738,0.003686997,0.182699644,0.073754218,0.129751309,-0.004646575,0.003285174,0.103650199,0.15326741,0.021603497,0.002662484,0.24026807,0.030697376,-0.03240502,-0.015771327,-0.036454294,-0.034615461,0.140066332,0.126915491,0.141157825,0.199740667,0.058675127,0.120457305,0.172715852,0.126923225,0.129026243,-0.000339579,0.016037268,-0.006509403,-0.008462335,0.05353148,0.105252805,-0.068813654,0.033585089,0.249767212,0.188664653,0.215254469,0.120298009,0.102838191
